BIZ_NO,END_DATE,STRT_DATE,CLSBZ_GB,STAT_OCR_DATE
5088115592,99991231,20150209,5,
5088115592,20150208,20200731,2,
1138127100,99991231,20121105,5,
1138127100,20121104,20200731,2,
1138127100,20121004,20200731,5,
1138127100,20100726,20200731,2,
1348608497,99991231,20200731,5,
1348608497,20131027,20200731,2,
1348608497,20110221,20200731,5,
1348608497,20101031,20200731,2,
1348608497,20100510,20200731,5,
1348608497,20100503,20200731,2,
1148193374,99991231,20190312,5,
1148193374,20190311,20190305,2,
4098167376,99991231,20200731,5,
4098167376,20110301,20200731,2,
1328125267,99991231,20220104,5,
1328125267,20220103,20210105,2,
2118127082,99991231,20200731,5,
2118127082,20131027,20200731,2,
5108107891,99991231,20200731,5,
5108107891,20131027,20200731,2,
1108151969,99991231,20200731,6,
1108151969,20131027,20200731,3,20020522
2208128839,99991231,20200731,6,
2208128839,20131027,20200731,3,20081010
2158161160,99991231,20200731,5,
2158161160,20060822,20200731,2,
4108182251,99991231,20200731,6,
4108182251,20060315,20200731,3,20031231
5068111284,99991231,20200731,5,
5068111284,20100527,20200731,2,
1358102981,99991231,20220704,5,
1358102981,20220703,20220203,2,
1058103499,99991231,20170208,5,
1058103499,20170207,20200731,2,
1058103499,20170202,20140701,6,
1058103499,20140630,20140624,3,20140331
3058114179,99991231,20200916,5,
3058114179,20200915,20200902,2,
1178118879,99991231,20141223,6,
1178118879,20141222,20141216,3,20141211
1298123962,99991231,20200731,5,
1298123962,20131027,20200731,2,
6078178929,99991231,20200731,6,
6078178929,20131027,20200731,3,20070131
1328129720,99991231,20141211,6,
1328129720,20141210,20200731,3,20141125
2148659574,99991231,20200731,6,
2148659574,20131027,20200731,3,20030701
6108155617,99991231,20200731,6,
6108155617,20131027,20200731,3,20020120
2148190129,99991231,20220704,5,
2148190129,20220703,20210812,2,
2148190129,20210811,20210802,5,
2148190129,20210801,20210208,2,
1168133616,99991231,20200731,6,
1168133616,20110301,20200731,3,20100927
5148139380,99991231,20200731,6,
5148139380,20131027,20200731,3,20071130
5108108153,99991231,20200731,6,
5108108153,20080218,20200731,3,20071129
4188117870,99991231,20200731,6,
4188117870,20131027,20200731,3,20080630
2118657387,99991231,20130812,6,
2118657387,20130811,20200731,3,20110630
3148135071,99991231,20200731,6,
3148135071,20080110,20200731,3,20070930
1138185866,99991231,20200731,6,
1138185866,20131027,20200731,3,20041130
2158173889,99991231,20201023,5,
2158173889,20201022,20200731,2,
3018152579,99991231,20200731,6,
3018152579,20070131,20200731,3,20061227
5028167277,99991231,20200731,6,
5028167277,20100527,20200731,3,20091031
4048116455,99991231,20200731,6,
4048116455,20090518,20200731,3,20090324
5028170317,99991231,20200731,5,
5028170317,20051124,20200731,2,
1198140381,99991231,20220105,6,
1198140381,20220104,20211126,3,20211126
3058148801,99991231,20200911,6,
3058148801,20200910,20200708,3,20200610
2208188929,99991231,20200731,6,
4028114261,99991231,20200731,5,
4028114261,20051124,20200731,2,
1208141809,99991231,20200731,6,
1208141809,20131027,20200731,3,20081231
1208161348,99991231,20200731,5,
1208161348,20051124,20200731,2,
1228174140,99991231,20200731,6,
1228174140,20090222,20200731,3,20060630
6218145540,99991231,20200731,6,
6218145540,20090222,20200731,3,20081025
3038138404,99991231,20150313,6,
3038138404,20150312,20200731,3,20141231
3138113977,99991231,20200731,6,
3138113977,20090518,20200731,3,20081231
3138113977,20090406,20200731,6,
3138113977,20070730,20200731,3,20070618
2078139425,99991231,20200731,5,
3128107768,99991231,20200731,6,
3128107768,20120617,20200731,3,20031231
2208127747,99991231,20180223,6,
2208127747,20180222,20180119,3,20171231
2048149434,99991231,20160427,6,
2048149434,20160426,20200731,3,20130930
3088114256,99991231,20200731,6,
3088114256,20080218,20200731,3,20020101
1138141382,99991231,20200731,6,
1138141382,20131027,20200731,3,20010806
5028149075,99991231,20200406,5,
5028149075,20200405,20200328,2,
1048105908,99991231,20200407,5,
1048105908,20200406,20200406,2,
1248146276,99991231,20200731,5,
1248146276,20051124,20200731,2,
4108132085,99991231,20200731,6,
4108132085,20080225,20200731,3,20080131
2108133150,99991231,20140701,6,
2108133150,20140630,20200731,3,20140416
2148607571,99991231,20200731,6,
5138105121,99991231,20200731,6,
5138105121,20090706,20200731,3,20090610
5138105121,20090616,20200731,6,
5138105121,20081225,20200731,3,20080325
4028142879,99991231,20190325,6,
4028142879,20190324,20200731,3,20131231
1278169322,99991231,20200731,5,
1278169322,20111101,20200731,2,
1278169322,20100913,20200731,5,
1278169322,20100817,20200731,2,
1048146651,99991231,20200731,6,
1048146651,20131027,20200731,3,20000801
5088102777,99991231,20220426,5,
5088102777,20220425,20220419,2,
1168167023,99991231,20200731,6,
1168167023,20131027,20200731,3,20090817
6068121758,99991231,20190816,5,
6068121758,20190815,20190812,2,
1078600246,99991231,20210908,6,
1078600246,20210907,20210831,3,20210831
1058662095,99991231,20210809,6,
1058662095,20210808,20210714,3,20210714
2068103943,99991231,20200731,6,
2068103943,20060822,20200731,3,20060425
2268107884,99991231,20200731,6,
1308188193,99991231,20190923,5,
1308188193,20190922,20200731,2,
2248125590,99991231,20200731,6,
2248125590,20131027,20200731,3,20060831
4108161727,99991231,20200731,6,
4108161727,20131027,20200731,3,20060930
3148154781,99991231,20200731,6,
3148154781,20080317,20200731,3,20070930
2158633562,99991231,20200731,6,
2158633562,20131027,20200731,3,20020331
2158618329,99991231,20200731,6,
2158618329,20081027,20200731,3,20080124
6098146480,99991231,20200731,6,
6098146480,20071205,20200731,3,20071122
2118647142,99991231,20200731,6,
2118647142,20131027,20200731,3,20051231
2258110085,99991231,20200731,5,
2258110085,20070404,20200731,2,
1358140592,99991231,20200731,6,
1108143173,99991231,20200731,6,
1108143173,20131027,20200731,3,20040623
1148624417,99991231,20200731,6,
1148624417,20060822,20200731,3,20050630
1208636956,99991231,20200731,6,
1208636956,20131027,20200731,3,20090630
1378136740,99991231,20200731,6,
1378136740,20091207,20200731,3,20020630
1318132391,99991231,20151127,6,
1318132391,20151126,20200731,3,20151029
2068183966,99991231,20200731,6,
2068183966,20081012,20200731,3,20070704
1238124930,99991231,20171030,6,
1238124930,20171029,20200731,3,20161031
2148646249,99991231,20130110,5,
2148646249,20130109,20200731,2,
2148646249,20121210,20121105,5,
2148646249,20121104,20200731,2,
3088115221,99991231,20160907,5,
3088115221,20160906,20160831,2,
3128153170,99991231,20220103,5,
3128153170,20220102,20210315,2,
3128153170,20210314,20190408,5,
3128153170,20190407,20200731,2,
1238195056,99991231,20200731,5,
1238195056,20131027,20200731,2,
3128140957,99991231,20200731,5,
3128140957,20081006,20200731,2,
6038148855,99991231,20151215,6,
6038148855,20151214,20200731,3,20150826
6038148855,20151206,20150713,5,
6038148855,20150712,20200731,2,
6038148855,20150702,20130404,5,
6038148855,20130403,20200731,2,
3038137744,99991231,20200302,5,
3038137744,20200301,20200228,2,
5068103260,99991231,20200731,5,
5068103260,20131027,20200731,2,
1098181293,99991231,20200731,5,
1098181293,20131027,20200731,2,20110104
4098179547,99991231,20200731,5,
4098179547,20050801,20200731,2,
5118107929,99991231,20151028,5,
5118107929,20151027,20200731,2,
1348167448,99991231,20160311,5,
1348167448,20160310,20200731,2,
3018162290,99991231,20200731,6,
3018162290,20131027,20200731,3,20090930
1058658174,99991231,20150127,6,
1058658174,20150126,20200731,3,20130228
2078141713,99991231,20200731,6,
2078141713,20131027,20200731,3,20071231
2078141713,20090512,20200731,6,
2078141713,20070620,20200731,3,20020630
6078157579,99991231,20200731,6,
6078157579,20131027,20200731,3,20050430
1088115785,99991231,20200731,6,
1088115785,20131027,20200731,3,20021231
1128149469,99991231,20200731,6,
1128149469,20091207,20200731,3,19990930
1218162355,99991231,20190425,5,
1218162355,20190424,20200731,2,
6058137261,99991231,20200731,6,
6058137261,20100307,20200731,3,20010930
4108116372,99991231,20200731,6,
4108116372,20131027,20200731,3,19961031
5028149584,99991231,20200731,6,
5028149584,20131027,20200731,3,20081031
2098104941,99991231,20190214,5,
2098104941,20190213,20200731,2,
2098104941,20181219,20180705,5,
2098104941,20180704,20200731,2,
2098104941,20180627,20180112,5,
2098104941,20180111,20200731,2,
2098104941,20171218,20170710,5,
2098104941,20170709,20200731,2,
2098104941,20170628,20140714,5,
2098104941,20140713,20200731,2,
2098104941,20110301,20200731,5,
2098104941,20110131,20200731,2,
2098104941,20100224,20200731,5,
2098104941,20100114,20200731,2,
2268131915,99991231,20140905,6,
2268131915,20140904,20140807,3,20140623
1208155093,99991231,20180411,5,
1208155093,20180410,20200731,2,
2118161213,99991231,20210727,5,
2118161213,20210726,20210726,2,
2118161213,20210725,20200731,6,
2118161213,20131027,20200731,3,20050110
3128162169,99991231,20200731,6,
3128162169,20111101,20200731,3,20050930
1358162280,99991231,20150722,6,
1358162280,20150721,20200731,3,20120930
4168142465,99991231,20200328,5,
4168142465,20200327,20200731,2,
2208676113,99991231,20200731,6,
2208676113,20100224,20200731,3,20090331
2198105495,99991231,20200731,5,
2198105495,20110131,20200731,2,
2198105495,20100913,20200731,5,
2198105495,20100720,20200731,2,
2198105495,20100314,20200731,5,
2198105495,20080427,20200731,2,
5068126297,99991231,20180712,5,
5068126297,20180711,20200731,2,
2048155519,99991231,20190325,6,
2048155519,20190324,20200731,3,20081231
2048155519,20151119,20200731,2,
2068166370,99991231,20200921,6,
2068166370,20200920,20200915,6,
2068166370,20200914,20200831,3,20200831
2158183048,99991231,20200731,6,
2158183048,20131027,20200731,4,
2118603519,99991231,20200731,6,
2118603519,20131027,20200731,3,20091215
3128154067,99991231,20200731,5,
3128154067,20100527,20200731,2,
3128154067,20100224,20200731,5,
3128154067,20100114,20200731,2,
2158650163,99991231,20200731,5,
2158650163,20131027,20200731,2,
2158650163,20081012,20200731,5,
2158650163,20080728,20200731,2,
5028164886,99991231,20200513,6,
5028164886,20200512,20200731,3,20180131
5028164886,20200509,20171124,6,
5028164886,20171123,20200731,3,20160531
1178145212,99991231,20200731,6,
1178145212,20110403,20200731,3,20091231
3118120088,99991231,20200731,6,
3118120088,20131027,20200731,3,20051129
6138121872,99991231,20200731,6,
3058165853,99991231,20200731,6,
3058165853,20070718,20200731,3,20070618
2148671049,99991231,20200731,5,
3038131677,99991231,20220308,5,
3038131677,20220307,20220125,2,
2198130053,99991231,20200731,5,
2198130053,20081202,20200731,2,
1148155119,99991231,20200731,6,
1148155119,20131027,20200731,3,20070430
6128105734,99991231,20150223,6,
6128105734,20150222,20200731,3,20011220
6218137638,99991231,20200731,6,
6218137638,20051124,20200731,3,20000331
1308169430,99991231,20200731,6,
1308169430,20131027,20200731,3,20000331
2068172912,99991231,20161125,6,
2068172912,20161124,20200731,3,20110730
5148108776,99991231,20200731,5,
5148108776,20131027,20200731,2,
5088106467,99991231,20200731,5,
5088106467,20110131,20200731,2,
1278131336,99991231,20161208,6,
1278131336,20161207,20200731,3,20121122
4188119091,99991231,20200731,5,
4188119091,20090512,20200731,2,
2078132742,99991231,20200731,6,
2078132742,20131027,20200731,3,20070430
3048112412,99991231,20200731,5,
3048112412,20111101,20200731,2,
2208641370,99991231,20200731,5,
6068183808,99991231,20200731,6,
6068183808,20131027,20200731,3,20040130
4118134897,99991231,20200731,6,
2018162097,99991231,20200731,6,
2018162097,20131027,20200731,3,20010630
3148121048,99991231,20161129,6,
3148121048,20161128,20200731,3,20100819
2028151007,99991231,20200731,6,
2028151007,20131027,20200731,3,19990402
2058137514,99991231,20200731,6,
2058137514,20080916,20200731,3,20080820
1088161125,99991231,20151028,6,
1088161125,20151027,20151021,3,20151019
6108169542,99991231,20210315,5,
6108169542,20210314,20200731,2,
4088157502,99991231,20200731,6,
4088157502,20100110,20200731,3,20091224
2128146141,99991231,20200731,6,
2128146141,20090128,20200731,3,20081230
1248168983,99991231,20160219,5,
1248168983,20160218,20200731,2,
1348156989,99991231,20200731,6,
1348156989,20051124,20200731,3,20030314
1238119494,99991231,20200731,5,
1238119494,20090730,20200731,2,
1238119494,20090329,20200731,5,
1238119494,20090222,20200731,2,
2208152756,99991231,20121211,5,
2208152756,20121210,20121105,2,
2208152756,20121104,20120908,5,
2208152756,20120907,20200731,2,
2208152756,20110331,20200731,5,
2208152756,20080728,20200731,2,
2208152756,20080427,20200731,6,
2208152756,20080221,20200731,3,20041224
2048198750,99991231,20200731,6,
2048198750,20131027,20200731,3,20070214
1378181740,99991231,20200731,6,
1378181740,20131027,20200731,3,20070706
6068180344,99991231,20200731,6,
6068180344,20061001,20200731,3,20030401
1078174971,99991231,20200731,5,
1078174971,20090414,20200731,2,
1078174971,20080427,20200731,5,
1078174971,20070213,20200731,2,
2018149570,99991231,20200731,5,
2018149570,20070813,20200731,2,
4108107422,99991231,20200731,6,
4168131726,99991231,20140902,6,
4168131726,20140901,20200731,3,20140401
4168131726,20140826,20200731,6,
4168131726,20131027,20200731,3,20080626
6138133233,99991231,20150923,6,
6138133233,20150922,20150807,3,20150531
1328127800,99991231,20210113,5,
1328127800,20210112,20210105,2,
3018131384,99991231,20200731,6,
3018131384,20060112,20200731,3,20051230
2148633875,99991231,20200731,6,
2148633875,20131027,20200731,3,20061125
1148169874,99991231,20200731,5,
1148169874,20090329,20200731,2,
1088161450,99991231,20160418,5,
1088161450,20160417,20200731,2,
2068186828,99991231,20200731,6,
2068186828,20131027,20200731,3,20060731
1318170809,99991231,20160902,5,
1318170809,20160901,20200731,2,
1318170809,20160807,20160219,5,
1318170809,20160218,20200731,2,
6068127766,99991231,20200731,6,
6068127766,20050801,20200731,3,20000531
2148715160,99991231,20150210,6,
2148715160,20150209,20200731,3,20081231
6088154459,99991231,20200731,6,
6088154459,20131027,20200731,3,20040102
6098173686,99991231,20200731,6,
6098173686,20131027,20200731,3,20070427
2208130392,99991231,20200731,6,
2208130392,20131027,20200731,3,19960731
1208135438,99991231,20200731,6,
1208135438,20131027,20200731,3,19941130
2158138446,99991231,20170120,5,
2158138446,20170119,20200731,2,
2138601889,99991231,20200731,5,
2138601889,20060105,20200731,2,
1328144283,99991231,20200731,5,
1328144283,20080221,20200731,2,
