BIZ_NO,END_DATE,STRT_DATE,CLSBZ_GB,STAT_OCR_DATE
1268145633,99991231,20220518,3,20220518
1388101749,99991231,20210319,3,20210319
1068179240,99991231,20200731,3,20191213
2248114507,99991231,20210531,3,20210531
1168132785,99991231,20210630,3,20210630
6178132798,99991231,20220715,3,20220715
5108108828,99991231,20210305,3,20210305
1088530294,99991231,20200731,3,20190726
2208113826,99991231,20220430,3,20220430
6068136800,99991231,20200731,3,20190628
1378121397,99991231,20220531,3,20220531
1288149498,99991231,20200904,3,20200904
6108166244,99991231,20200731,3,20190601
1308157841,99991231,20210826,3,20210826
1338122962,99991231,20211230,3,20211230
6038136382,99991231,20220520,3,20220520
1138144865,99991231,20220405,3,20220405
5158102718,99991231,20201231,3,20201231
1218128624,99991231,20210903,3,20210903
6018132997,99991231,20201229,3,20201229
2158139237,99991231,20220308,3,20220308
2068173696,99991231,20210524,3,20210524
1248627594,99991231,20200731,3,20191231
6178113544,99991231,20201231,3,20201231
1348106155,99991231,20211231,3,20211231
6088135530,99991231,20220630,3,20220630
1198152117,99991231,20220430,3,20220430
1148626453,99991231,20200831,3,20200831
6108146952,99991231,20211120,3,20211120
5108106626,99991231,20211108,3,20211108
1148173344,99991231,20201111,3,20201111
6028121718,99991231,20210430,3,20210430
3048111219,99991231,20201208,3,20201208
5098102576,99991231,20200731,3,20200302
6038132601,99991231,20210812,3,20210812
6098148907,99991231,20220331,3,20220331
6098143237,99991231,20211119,3,20211119
3038103040,99991231,20210430,3,20210430
1348117991,99991231,20200731,3,20190831
3058139281,99991231,20201223,3,20201223
6058128739,99991231,20210831,3,20210831
2148676874,99991231,20220215,3,20220215
1028137777,99991231,20200720,3,20200720
1208198883,99991231,20200731,3,20190208
6098159893,99991231,20220415,3,20220415
1288161100,99991231,20211028,3,20211028
1138172605,99991231,20220430,3,20220430
1378113242,99991231,20220223,3,20220223
2208648937,99991231,20200731,3,20191231
1218128420,99991231,20210125,3,20210125
2128152662,99991231,20200731,3,20200518
2018123639,99991231,20220630,3,20220630
