BIZ_NO,CMP_PFIX_NM,CMP_NM,CMP_SFIX_NM,CMP_ENM,BZ_TYP,CMP_SCL,PBCO_GB,PSN_CORP_GB,HDOF_BR_GB,FR_IVST_CORP_YN,VENT_YN,LIST_CD,IND_CD_ORDR,IND_CD1,IND_CD2,IND_CD3,PB_ORG_TYP,MDSCO_PRTC_YN,HDOF_CMP_CD,ESTB_DATE,ESTB_GB,LIST_DATE,MN_BIZ_CONT,NATN_NM,HOMEPAGE_URL,CEO_NM,EMP_CNT
1268145633,(주),용진테크,,"Yongjin Tech Co., Ltd.",M,2,2,1,1,N,N,,10,30391,,,0,N,,20000529,01,,자동차부품 제조판매업,,www.yongjintech.com,안상동,40
1388101749,,신구건설,(주),"SHINKU C0NSTRUCTION CO.,LTD.",M,2,2,1,1,N,N,,10,46610,,,0,N,,19850110,01,,건축자재 판매업,,www.shinku.co.kr,소재필,13
1068179240,(주),석정미디어,,sung jung,M,2,2,1,1,N,N,,10,46510,,,0,N,,19990601,01,,"토너, 잉크, 프린터 외 컴퓨터 관련 주변기기",,,이상호,1
2248114507,(주),새한실업,,"SAEHAN INDUSTRY CO.,LTD.",M,2,2,1,1,N,N,,10,25991,,,0,N,,19980522,01,,금속 캔 및 기타 포장용기 제조업,,,김정남외  1명,6
1168132785,(주),석영엔터프라이즈,,"Seokyoung Enterprise Co.,Ltd.",M,2,2,1,1,N,N,,10,24199,,,0,N,,19930226,01,,스마트트레이 외,,www.systeel.co.kr,박성진,40
6178132798,(주),남경엔지니어링토건,,NAMKYONG ENG & CONST. LTD.,M,2,2,1,1,N,N,,10,42121,,,0,N,,20010308,01,,"토공사, 철근콘크리트공사, 수중공사 외",,www.namkyongeng.co.kr,이규화,73
5108108828,,유일철강,(주),"Yuil Steel Co.,Ltd.",M,2,2,1,1,N,N,,10,46721,,,0,N,,19991008,01,,그외 기타 건축자재 도매업,,,박배일,10
1088530294,,한일물산(주)서울직매장,,"Hanil Moolsan Seoul Sales Co., Ltd.",M,2,2,1,2,N,N,,10,14112,,,0,N,1417071,19671023,01,,침구류섬유류의류내의-도소매,,,이순일외  1명,44
2208113826,(주),그렉스전자,,"GREKS ELECTRONICS CO.,LTD.",M,2,2,1,1,N,N,,10,28519,,,0,N,,19950803,01,,"진공청소시스템, 연도",,www.grex.co.kr,한승진,11
6068136800,(주),신한스틸,,"SINHAN STEEL CO.,LTD.",M,2,2,1,1,N,N,,10,46721,,,0,N,,19890922,01,,금속판  봉  관 및 유사 1차 금속제품 도매업,,www.sinhansteel.co.kr,최숙현외  1명,22
1378121397,(주),근유,,"KEUNYOO CO.,LTD.",M,2,2,1,1,N,N,,10,16221,,,0,N,,19981210,01,,"가구 및 장치물, 목제품류 제조업",,www.keunyoo.co.kr,김근중,26
1288149498,(주),하랑그룹,,Harang Group,M,2,2,1,1,N,N,,10,42412,33934,,0,N,,20000605,01,,"실내건축, 모형제작, 종합광고물제작 외",,,안철재,2
6108166244,(주),아이티스타,,"IT star CO., Ltd.",M,2,2,1,1,N,N,,10,58220,,,0,N,,20030520,01,,컴퓨터 소프트웨어 제작업,,www.itstar.co.kr,남원진,9
1308157841,(주),협진기계,,"Hyupjin Machinery Co., Ltd.",M,2,2,1,1,N,N,,10,29250,,,0,N,,19981126,01,,식품자동조리기계 육포 제조설비 빵가루 제조설비,,www.hjfm.co.kr,김종서,32
1338122962,,아이세로미림화학,(주),"AICELLO MILIM CHEMICALL CO.,LTD.",M,2,2,1,1,Y,N,,10,22232,,,0,N,,19950804,01,,산업 가정용 플라스틱 일반제조,일본,aicellomilim.com,임장욱,86
6038136382,(주),케이원목재,,"K-One Timber Co.,Ltd.",M,2,2,1,1,N,N,,10,46611,,,0,N,,19981020,01,,목재생산업체,,www.timbers.co.kr,정기훈,16
1138144865,,호연토건,(주),"HOYEON CONSTRUCTION & ENGINEERING CO.,LTD.",M,2,2,1,1,N,N,,10,42121,42132,42139,0,N,,19970811,01,,"토공 및 흙막이공사, 부대토목공사, 철근콘크리트공사 외",,www.hanamconst.com,박병국,49
5158102718,(주),경성섬유,,"Kyung Sung Textile Co., Ltd.",M,2,2,1,1,N,N,,10,13213,,,0,N,,19910101,01,,직물제조업,,,박정재,87
1218128624,,금강특수,(주),Keumkang Special,M,2,2,1,1,N,N,,10,49300,52999,47710,0,N,,19981209,01,,유류 및 GAS 운송 외,,,임재규,4
6018132997,(주),유진해운,,"Yoojin Shipping Co., Ltd",M,2,2,1,1,N,N,,10,50112,,,0,N,,19980205,01,,국내외 화물운송,,,장만,3
2158139237,(주),유레카,,"EUREKA Co., Ltd.",M,2,2,1,1,N,N,,10,15121,,,0,N,,19950103,01,,핸드백 외,,www.erk.co.kr,김영철,9
2068173696,(주),로젠솔루션,,"Logen Solution Co., Ltd.",M,2,2,1,1,N,N,,10,58200,,,0,N,,20020813,01,,물류정보시스템 및 솔루션,,www.logen.co.kr,이동명,29
1248627594,(주),세주상사,,THE SEJOO CORPORATION,M,2,2,1,1,N,N,,10,46712,,,0,N,,20020712,01,,가스기구 판매업,,,이영애,3
6178113544,,연우기술,(주),younwoo,M,2,2,1,1,N,N,,10,25110,,,0,N,,19940930,01,,"STS조립식연도, 스파이럴 닥트, 기계설비공사",,younwoo.net,김재문,10
1348106155,(주),현대특수나염,,"Hyundae Special Printing Co.,Ltd.",M,2,2,1,1,N,N,,10,13403,,,0,N,,19850710,01,,나염 제조업,,,최은호,65
6088135530,,삼양기전,(주),"Samyang System And Control Co., Ltd.",M,2,2,1,1,N,N,,10,28120,,,0,N,,19990825,01,,"전동기, 발전기 외",,www.sysco.co.kr,강병조,18
1198152117,(주),세아웰텍,,"seah welltec Co., Ltd.",M,2,2,1,1,N,N,,10,46539,46799,,0,N,,20011113,01,,"용접봉, 용접기 외",,,배영창,2
1148626453,(주),바우정보기술,,Bawoo Information Technology,M,2,2,1,1,N,N,,10,46510,,,0,N,,20030327,01,,프린터 및 소모품,,www.bawooit.com,김영필,8
6108146952,,동양전기산업,(주),"Dong Yang electronic industry Co.,Ltd.",M,2,2,1,1,N,N,,10,28123,,,0,N,,20001223,01,,수배전반,,www.dongyangin.com,안승규,27
5108106626,(주),성도,,Seongdo,M,2,2,1,1,N,N,,10,20202,,,0,N,,19970318,01,,합성수지 제조 및 판매업,,sungdofloor.co.kr,손병갑,45
1148173344,(주),다함넷,,"Dahaam Net Co.,Ltd.",M,2,2,1,1,N,N,,10,68112,,,0,N,,19960724,01,,"매출채권의 양수 및 관리, 팩토링 금융",,www.da-haam.com,안성수,3
6028121718,(주),푸른영도,,"Pureun Youngdo Co.,Ltd.",M,2,2,1,1,N,N,,10,37011,,,0,N,,20010719,01,,하수처리업,,,정명철,4
3048111219,,제일산업,(주),JEIL INDUSTRY,M,2,2,1,1,N,N,,10,46722,,,0,N,,20010319,01,,기타 건축자재 도매업,,,김기혁,14
5098102576,(주),한창산업,,"Hanchang Industry Co., Ltd.",M,2,2,1,1,N,N,,10,46612,,,0,N,,19960310,01,,골재 채취 및 판매업,,,김규한,0
6038132601,,대유철강,(주),"Daeyoo Steel Co.,Ltd.",M,2,2,1,1,N,N,,10,46721,,,0,N,,19970617,01,,철강재 도.소매업,,www.daeyoosteel.co.kr,백귀성,32
6098148907,(주),스피드넷,,SPEEDNET CABLE COMPANY,M,2,2,1,1,N,N,,10,42320,,,0,N,,20010719,01,,정보통신공사,,www.spdnet.co.kr,임성춘,31
6098143237,(주),타워정밀,,"Tower Precision Co., Ltd.",M,2,2,1,1,N,N,,10,30390,,,0,N,,20000721,01,,자동차부품 및 공작기계 제조,,,박용만,14
3038103040,(주),에스마크,,"SMARK CO., LTD",M,2,2,1,1,N,N,A030270,10,13101,,,0,N,,19860528,01,19970117,섬유 판매업,,www.s-mark.co.kr,김상진,2
1348117991,,한국건드릴,(주),"HAN KOOK GUNDRILL CO,LTD.",M,2,2,1,1,N,N,,10,29223,,,0,N,,19930925,01,,전착도장설비 기계의 제조 및 판매,,www.gundrill.co.kr,도정원,39
3058139281,(주),이앤비코리아,,"E & B KOREA CO.,LTD.",M,2,2,1,1,N,N,,10,20129,,,0,N,,20000718,01,,은나노 분말 및 페이스트 TiO2 용액 및 페이스트,,www.enbkorea.com,박정근,8
6058128739,(주),삼인실업,,SAMIN TRADING CO.,M,2,2,1,1,N,Y,,10,25920,,,0,N,,19980119,01,,금속 융단 및 유사절단 가공업,,,유인철,13
2148676874,(주),상현종합조경,,"Sanghyeon General Landscape Co., Ltd.",M,2,2,1,1,N,N,,10,41220,,,0,N,,20010216,01,,조경공사업,,,유현상,6
1028137777,(주),대왕제지,,"Daewang Paper co., Ltd.",M,2,2,1,1,N,N,,10,17902,,,0,N,,19930901,01,,주택 신축 매매,,,남동환외  1명,70
